y= 1.5	n= 0	scale= 1e+09	conc= 2e-32
0	40	140	166
56.643	40	140	165
56.6523	40	148	166
59.2572	40	148	165
59.2613	40	71	166
62.3869	41	71	165
62.3871	41	15	166
63.1161	41	15	165
63.1163	41	156	166
64.1079	41	156	165
64.1109	41	42	166
64.2204	41	42	165
64.2204	41	101	166
79.7848	41	101	165
79.7859	41	155	166
89.7783	41	155	165
89.7805	41	24	166
98.9848	41	24	165
98.9849	41	72	166
99.4132	41	72	165
99.4133	41	52	166
108.19	41	52	165
108.19	41	120	166
108.485	41	120	165
108.486	41	132	166
113.865	41	132	165
113.866	41	130	166
120.535	42	130	165
120.536	42	19	166
122.49	42	19	165
122.492	42	105	166
123.03	42	105	165
123.03	42	125	166
124.237	42	125	165
124.237	42	61	166
126.041	42	61	165
126.043	42	122	166
126.53	42	122	165
126.53	42	148	166
128.84	42	148	165
128.84	42	149	166
129.946	42	149	165
129.951	42	120	166
133.057	42	120	165
133.061	42	91	166
134.457	42	91	165
134.457	42	118	166
134.527	42	118	165
134.527	42	158	166
134.604	42	158	165
134.604	42	85	166
137.462	42	83	165
137.698	42	74	164
139.437	42	74	163
139.438	42	104	164
139.763	42	104	163
139.769	42	114	164
145.144	42	114	163
145.148	42	161	164
145.833	42	161	163
145.834	42	118	164
147.539	42	118	163
147.54	42	43	164
147.673	42	43	163
147.674	42	33	164
147.822	42	33	163
147.823	42	83	164
148.244	42	152	165
148.561	42	152	164
148.561	42	155	165
148.917	42	155	164
148.918	42	17	165
150.189	42	17	164
150.19	42	96	165
158.643	42	96	164
158.643	42	17	165
162.971	42	17	164
162.971	42	104	165
163.873	42	104	164
163.877	42	5	165
167.832	42	5	164
167.833	42	3	165
169.872	42	3	164
169.874	42	85	165
173.827	42	65	166
175.64	42	65	165
175.641	42	57	166
177.112	42	57	165
177.112	42	49	166
179.27	42	49	165
179.272	42	128	166
184.688	43	128	165
184.695	43	88	166
185.245	43	88	165
185.246	43	119	166
185.508	43	119	165
185.508	43	19	166
185.941	43	19	165
185.942	43	42	166
188.956	43	42	165
188.956	43	31	166
189.506	43	31	165
189.507	43	26	166
189.656	43	26	165
189.656	43	50	166
191.694	43	50	165
191.696	43	125	166
192.675	43	125	165
192.675	43	46	166
193.015	43	46	165
193.016	43	106	166
193.779	43	106	165
193.779	43	95	166
194.662	43	95	165
194.662	43	159	166
196.57	43	159	165
196.571	43	114	166
197.773	43	114	165
197.779	43	92	166
202.121	43	92	165
202.123	43	92	166
207.793	43	92	165
207.794	43	162	166
207.809	43	78	165
210.29	43	78	164
210.29	43	154	165
213.754	43	154	164
213.759	43	66	165
214.641	43	66	164
214.641	43	59	165
216.644	43	59	164
216.644	43	103	165
217.738	43	103	164
217.739	43	11	165
218.724	43	11	164
218.725	43	158	165
219.352	43	158	164
219.353	43	26	165
219.363	43	26	164
219.364	43	103	165
220.042	43	103	164
220.042	43	121	165
220.546	43	121	164
220.547	43	91	165
223.764	43	91	164
223.766	43	161	165
225.689	43	161	164
225.692	43	52	165
227.735	43	52	164
227.736	43	126	165
228.068	43	126	164
228.071	43	15	165
228.852	43	15	164
228.862	43	74	165
231.701	43	74	164
231.705	43	127	165
231.987	43	127	164
231.989	43	57	165
233.267	43	57	164
233.268	43	131	165
233.416	43	131	164
233.416	43	127	165
235.104	43	127	164
235.105	43	157	165
235.934	43	157	164
235.94	43	35	165
236.828	43	35	164
236.832	43	62	165
237.983	43	62	164
237.983	43	25	165
239.121	43	25	164
239.121	43	89	165
239.568	43	89	164
239.569	43	55	165
241.098	44	55	164
241.098	44	122	165
241.681	44	122	164
241.681	44	73	165
241.749	44	73	164
241.749	44	137	165
241.926	44	137	164
241.926	44	15	165
241.976	44	15	164
241.977	44	65	165
243.754	44	65	164
243.755	44	133	165
243.967	44	133	164
243.967	44	11	165
244.765	44	11	164
